sport,name,startDate,address,municipality,guests
Calcio,"CAIRO, FENUCCI, LOTITO, MAROTTA, PERCASSI, SCARONI E SUWARSO GLI STATI GENERALI DEL CALCIO ITALIANO",2024-10-11 14:30:00,"Teatro Sociale, Via Paolo Oss-Mazzurana 19","Trento, TN","Urbano Cairo, Claudio Fenucci, Claudio Lotito, Beppe Marotta, Luca Percassi, Paolo Scaroni, Mirwan Suwarso"
Calcio,"LIBRI DI SPORT: L'ARTE DI PARARE. TROVARE IL CORAGGIO PER FRONTEGGIARE I TIRI DELLA VITA
Libri di sport",2024-10-11 15:00:00,"Piazza del Duomo, Piazza Del Duomo","Trento, TN",Stefano Tacconi
Calcio,"LIBRI DI SPORT: TRA LA CHAMPIONS E LA LIBERT
Libri di sport",2024-10-11 16:00:00,"Piazza del Duomo, Piazza Del Duomo","Trento, TN",Michele Padovano
Calcio,PIERLUIGI COLLINA IL BSMT PASSA DAL FESTIVAL DELLO SPORT,2024-10-11 17:30:00,"Teatro Sociale, Via Paolo Oss-Mazzurana 19","Trento, TN","Pierluigi Collina, Gianluca Gazzoli"
Calcio,IL MILAN DEGLI INVINCIBILI,2024-10-11 18:00:00,"Auditorium Santa Chiara, Via S. Croce 67","Trento, TN","Demetrio Albertini, Zvonimir Boban, Fabio Capello, Alessandro Costacurta, Marcel Desailly, Roberto Donadoni, Filippo Galli, Adriano Galliani, Mario Ielpo, Stefano Nava, Florin Răducioiu, Sebastiano Rossi, Mauro Tassotti"
Calcio,GIAN PIERO GASPERINI: LA DEA IN PARADISO,2024-10-11 20:00:00,"Teatro Sociale, Via Paolo Oss-Mazzurana 19","Trento, TN","Cristina Bombassei, Gian Piero Gasperini"
Calcio,"LIBRI DI SPORT: STORIA DEL MONDO IN 12 PARTITE DI CALCIO
Libri di sport",2024-10-12 10:00:00,"Piazza del Duomo, Piazza Del Duomo","Trento, TN",Stefano Bizzotto
Calcio,CAFU: IL PENDOLINO,2024-10-12 14:00:00,"Teatro Sociale, Via Paolo Oss-Mazzurana 19","Trento, TN",Cafu
Calcio,DIEGO DELLA VALLE: L'ELEGANZA DELLA VITTORIA,2024-10-12 14:30:00,"Filarmonica, Via Giuseppe Verdi 30","Trento, TN",Diego Della Valle
Calcio,DANIELE ORSATO: PROFESSIONE ARBITRO,2024-10-12 15:30:00,"Sala Depero, Piazza Dante 15","Trento, TN",Daniele Orsato
Calcio,FRANCESCO FARIOLI: IL MIO CALCIO EUROPEO,2024-10-12 16:30:00,Palazzo della Regione,"Trento, TN",Francesco Farioli
Calcio,"LIBRI DI SPORT: LUCA VIALLI
Libri di sport",2024-10-12 17:30:00,"Piazza del Duomo, Piazza Del Duomo","Trento, TN","Luca Dal Monte, Nino Vialli"
Canottaggio,REMI DARGENTO,2024-10-13 14:30:00,Palazzo della Regione,"Trento, TN","Luca Chiumento, Giacomo Gentili, Stefano Oppo, Andrea Panizza, Luca Rambaldi, Gabriel Soares"
Ciclismo,ROGER DE VLAEMINCK: IL FENOMENO DELLE CLASSICHE,2024-10-10 18:45:00,"Sala Depero, Piazza Dante 15","Trento, TN",Roger De Vlaeminck
Ciclismo,"BUGNO, CHIAPPUCCI E INDURAIN: QUANDO ERAVAMO RE",2024-10-10 20:00:00,"Auditorium Santa Chiara, Via S. Croce 67","Trento, TN","Gianni Bugno, Claudio Chiappucci, Miguel Indurain"
Ciclismo,CONSONNI E VIVIANI: UN ARGENTO CHE VALE ORO,2024-10-11 13:30:00,Palazzo della Regione,"Trento, TN","Simone Consonni, Elia Viviani"
Ciclismo,FRANCESCO MOSER: L'UOMO DEI RECORD,2024-10-11 15:00:00,"Auditorium Santa Chiara, Via S. Croce 67","Trento, TN",Francesco Moser
Ciclismo,GIRO-E: UNESPERIENZA SOSTENIBILE,2024-10-11 18:00:00,"Palazzo Geremia, Via Rodolfo Belenzani 20","Trento, TN","Kristian Ghedina, Leonardo Ghiraldini, Rachele Sangiuliano, Valerio Vermiglio"
Ciclismo,TADEJ POGAAR: NATO PER VINCERE,2024-10-13 16:00:00,"Auditorium Santa Chiara, Via S. Croce 67","Trento, TN",Tadej Pogačar
Ginnastica artistica,LA MAGIA DELLE FATE,2024-10-11 10:30:00,"Auditorium Santa Chiara, Via S. Croce 67","Trento, TN","Angela Andreoli, ""Alice DAmato"", Manila Esposito, Vanessa Ferrari, Elisa Iorio, Giorgia Villa"
Motociclismo,MORBIDELLI E CAMPINOTI: MOTOGP MADE  IN ITALY,2024-10-11 16:00:00,"Filarmonica, Via Giuseppe Verdi 30","Trento, TN","Mario Almondo, Paolo Campinoti, Franco Morbidelli"
Motociclismo,GIACOMO AGOSTINI: NUMERO UNO,2024-10-12 10:30:00,"Filarmonica, Via Giuseppe Verdi 30","Trento, TN",Giacomo Agostini
Motociclismo,BIAGGI E SOMASCHINI: POTENZA E CONTROLLO,2024-10-12 14:00:00,Palazzo della Regione,"Trento, TN","Max Biaggi, Rachele Somaschini"
Motociclismo,"MOTORSPORT ACADEMY, I SEGRETI DELLAERODINAMICA",2024-10-12 16:30:00,"Piazza Dante Beta Officina Motori, Piazza Dante","Trento, TN",Carlo Da Rold
Motociclismo,JORGE LORENZO: SENZA FRENI,2024-10-12 20:00:00,"Teatro Sociale, Via Paolo Oss-Mazzurana 19","Trento, TN",Jorge Lorenzo
Motociclismo,"MOTORSPORT ACADEMY, IL FUTURO DELLE DUE RUOTE",2024-10-13 15:30:00,"Piazza Dante Beta Officina Motori, Piazza Dante","Trento, TN",Carlo Da Rold
Nuoto,NUOTIAMO NELLORO,2024-10-10 15:00:00,Palazzo della Regione,"Trento, TN","Simone Barlaam, Giulia Ghiretti, Carlotta Gigli, Luca Pancalli, Stefano Raimondi, Giulia Terzi"
Nuoto,GREGORIO PALTRINIERI: NATO PER NUOTARE,2024-10-10 21:00:00,"Teatro Sociale, Via Paolo Oss-Mazzurana 19","Trento, TN",Gregorio Paltrinieri
Nuoto,THOMAS CECCON: SOGNI D'ORO,2024-10-12 11:30:00,"Auditorium Santa Chiara, Via S. Croce 67","Trento, TN",Thomas Ceccon
Nuoto,"BEBE VIO GRANDIS PARIS, JE TAIME!",2024-10-13 10:00:00,"Teatro Sociale, Via Paolo Oss-Mazzurana 19","Trento, TN","Vittoria Bianco, Giuliana Chiara Filippi, Alessandro Sbuelz, Elisa Spediacci, Bebe Vio Grandis"
Nuoto,"LIBRI DI SPORT: UNA VITA PRESA A BRACCIATE
Libri di sport",2024-10-13 17:00:00,"Piazza del Duomo, Piazza Del Duomo","Trento, TN",Paolo Chiarino
Padel,"LIBRI DI SPORT: ALLA SCOPERTA DEL PADEL
Libri di sport",2024-10-12 11:00:00,"Piazza del Duomo, Piazza Del Duomo","Trento, TN",Gustavo Spector
Padel,FESTIVAL LEGENDS PADEL CUP,2024-10-12 14:00:00,"Piazza Fiera, Piazza di Fiera","Trento, TN","Lucas Biglia, Cristian Brocchi, German Denis, Nelson Dida, Roberto Donadoni, Christian Panucci"
Padel,BREMBO PADEL EXPERIENCE,2024-10-13 10:00:00,"Piazza Fiera, Piazza di Fiera","Trento, TN","Nelson Dida, Christian Panucci"
Pugilato,VOLONTARI PER SPORT,2024-10-11 10:00:00,"Sala Depero, Piazza Dante 15","Trento, TN","Bruno Cerella, Franco Ianeselli, Clemente Russo"
Ritmica,IL VOLO DELLE FARFALLE,2024-10-12 10:00:00,"Teatro Sociale, Via Paolo Oss-Mazzurana 19","Trento, TN","Martina Centofanti, Agnese Duranti, Alessia Maurelli, Daniela Mogurean, Laura Paris, Alessia Russo"
Ritmica,SOFIA RAFFAELI: IL RITMO DI UNA STELLA,2024-10-13 19:00:00,"Teatro Sociale, Via Paolo Oss-Mazzurana 19","Trento, TN",Sofia Raffaeli
Rugby,"CAPUOZZO, LAMARO, MENONCELLO E QUESADA: SEI NAZIONI E UN SOGNO",2024-10-13 17:00:00,"Filarmonica, Via Giuseppe Verdi 30","Trento, TN","Ange Capuozzo, Michele Lamaro, Tommaso Menoncello, Gonzalo Quesada"
Scherma,QUATTRO SPADE E UN FIORETTO,2024-10-10 17:00:00,Palazzo della Regione,"Trento, TN","Rossella Fiamingo, Filippo Macchi, Mara Navarria, Giulia Rizzi, Alberta Santuccio"
Scherma,"BEBE VIO GRANDIS PARIS, JE TAIME!",2024-10-13 10:00:00,"Teatro Sociale, Via Paolo Oss-Mazzurana 19","Trento, TN","Vittoria Bianco, Giuliana Chiara Filippi, Alessandro Sbuelz, Elisa Spediacci, Bebe Vio Grandis"
Scherma,TOMMASO MARINI: DIETRO LA MASCHERA,2024-10-13 16:30:00,Palazzo della Regione,"Trento, TN",Tommaso Marini
Sci,GHEDINA E PICCININI: DA PECHINO A TRENTO,2024-10-11 16:00:00,"Sala Depero, Piazza Dante 15","Trento, TN","Kristian Ghedina, Francesca Piccinini"
Sci,GROS E THOENI: LA VALANGA SIAMO NOI,2024-10-11 19:00:00,"Sala Depero, Piazza Dante 15","Trento, TN","Piero Gros, Gustavo Thoeni"
Sci,TUTTI I CAMPIONI DELLA NEVE,2024-10-12 11:30:00,"Piazza del Duomo  e via Verdi, Piazza Del Duomo  - 38122 Trento","Trento, TN","Marta Bassino, Maurizio Bormolini, Guglielmo Bosca, Federica Brignone, Mattia Casse, Elena Curtoni, Francesco De Fabiani, Alba De Silvestro, Nicol Delago, Simone Deromedis, Dominick Fischnaller, Tommaso Giacomel, Sofia Goggia, Aaron March, Valentina Margaglio, Michela Moioli, Marion Oberhofer, Dominik Paris, Federico Pellegrino, Laura Pirovano, Florian Schieder, Alex Vinatzer, Omar Visintin, Lisa Vittozzi, Andrea Voetter, Dorothea Wierer"
