id,name,lit,covered,surface
3809,Circolo Tennis Trento,,,
3867,Circolo Tennis Borgo Assoc.Sport.Dilettantistica,,,
3868,Circolo Tennis Calisio,,,
3869,Circolo Tennis Grillo,,,
3870,Circolo Tennis Rovereto Asd,,,
3871,Circolo Tennis Rovereto,,True,
3897,Tennis Club Asiago,,,
3898,Tennis Club C10 Ass.Sportiva Dilettantistica,,True,
3918,Circolo Tennis Rovereto Asd,,,
3919,Circolo Tennis Rovereto,,True,
3929,Tennis Club C10 Ass.Sportiva Dilettantistica,,True,
3932,Circolo Tennis Trento,,,
3991,Circolo Tennis Arco,,,
3992,Circolo Tennis Calisio,,,
3993,Circolo Tennis Grillo,,,
3994,Circolo Tennis Lavarone A.S.D.,,,
3995,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
3996,Circolo Tennis Torbole,True,,grass
4029,Tennis Club Ala Associaz.Sport.Dilettantistica,,,
4030,Tennis Club Associazione Sportiva Dilettantistica,True,,clay
4031,Tennis Club,,,
4032,Tennisclinic,,,
4049,Asv Welschnofen - Sektion Tennis Raiffeisen,,,
4082,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
4088,Circolo Tennis Trento,,,
4135,Circolo Tennis Calisio,,,
4136,Circolo Tennis Grillo,,,
4167,Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,,,
4169,Tennisclub Dilettanti Laghetti,,,
4190,Circolo Tennis Borgo Assoc.Sport.Dilettantistica,,,
4201,Tennis Club Fonzaso,,,
4214,Asv Welschnofen - Sektion Tennis Raiffeisen,,,
4249,Tennisclub Dilettanti Laghetti,,,
4252,Scuolatennis.it - Bolzano,,,
4261,Asv Welschnofen - Sektion Tennis Raiffeisen,,,
4281,Circolo Tennis Borgo Assoc.Sport.Dilettantistica,,,
4282,Circolo Tennis Cassa di Risparmio,,,
4283,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
4315,Tennis Academy Service A.S.D.,,,
4316,Tennis Club Bronzolo Branzoll Sportiva Dilettantistica,,,
4317,Tennis Sparer,,,
4359,Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,,,
4360,Tennis Club Associazione Sportiva Dilettantistica,True,,clay
4365,Circolo Tennis Borgo Assoc.Sport.Dilettantistica,,,
4391,Circolo Tennis Lavarone A.S.D.,,,
4392,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
4410,Tennis Club Asiago,,,
4411,Tennis Club Fonzaso,,,
4412,A.S.D. Tennis Darzo,,,
4425,Circolo Tennis Arco,,,
4426,Circolo Tennis Torbole,True,,grass
4443,Tennis Club Associazione Sportiva Dilettantistica,True,,clay
4444,Tennis Club Collio,,,
4445,Tennisclinic,,,
4450,Circolo Tennis Borgo Assoc.Sport.Dilettantistica,,,
4474,Circolo Tennis Lavarone A.S.D.,,,
4475,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
4492,Tennis Club Asiago,,,
4493,Tennis Club Fonzaso,,,
4503,Scuolatennis.it - Bolzano,,,
4516,Asv Gargazon/Raika Sektion Tennis,,,
4529,Circolo Tennis,,,
4530,Circolo Tennis Bauzanum '77,,,
4531,Circolo Tennis Cassa di Risparmio,,,
4579,Tennis Academy Service A.S.D.,,,
4580,Tennis Camp Naturns,,,
4581,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
4582,Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,,,
4583,Tennis Club Bolzano Bozen,,,
4584,Tennis Club Bronzolo Branzoll Sportiva Dilettantistica,,,
4585,Tennis Club Comune di Bolzano,,,
4586,Tennis club Merano,,,
4588,Tennis Gehra,,,
4589,Tennis Sparer,,,
4590,Tennisclub Dilettanti Laghetti,,,
4609,Circolo Tennis Borgo Assoc.Sport.Dilettantistica,,,
4624,Tennis Club Asiago,,,
4625,Tennis Club Fonzaso,,,
4638,Scuolatennis.it - Bolzano,,,
4647,Asv Welschnofen - Sektion Tennis Raiffeisen,,,
4658,Circolo Tennis,,,
4659,Circolo Tennis Bauzanum '77,,,
4660,Circolo Tennis Borgo Assoc.Sport.Dilettantistica,,,
4661,Circolo Tennis Cassa di Risparmio,,,
4692,Tennis Academy Service A.S.D.,,,
4693,Tennis Club Bronzolo Branzoll Sportiva Dilettantistica,,,
4696,Tennis Sparer,,,
4697,Tennisclub Dilettanti Laghetti,,,
4710,Circolo Tennis Borgo Assoc.Sport.Dilettantistica,,,
4730,Circolo Tennis Lavarone A.S.D.,,,
4731,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
4745,Tennis Club Asiago,,,
4746,Tennis Club Fonzaso,,,
4760,Scuolatennis.it - Bolzano,,,
4769,Asv Welschnofen - Sektion Tennis Raiffeisen,,,
4779,Circolo Tennis,,,
4780,Circolo Tennis Bauzanum '77,,,
4781,Circolo Tennis Cassa di Risparmio,,,
4817,Tennis Academy Service A.S.D.,,,
4818,Tennis Club Bronzolo Branzoll Sportiva Dilettantistica,,,
4821,Tennis Sparer,,,
4822,Tennisclub Dilettanti Laghetti,,,
4840,Tennis Sparer,,,
4842,Scuolatennis.it - Bolzano,,,
4853,Asv Gargazon/Raika Sektion Tennis,,,
4868,Circolo Tennis,,,
4869,Circolo Tennis Bauzanum '77,,,
4870,Circolo Tennis Cassa di Risparmio,,,
4916,Tennis Academy Service A.S.D.,,,
4917,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
4918,Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,,,
4919,Tennis Club Bolzano Bozen,,,
4920,Tennis Club Bronzolo Branzoll Sportiva Dilettantistica,,,
4921,Tennis Club Comune di Bolzano,,,
4923,Tennis Gehra,,,
4924,Tennisclub Dilettanti Laghetti,,,
4949,Circolo Tennis Trento,,,
5005,Circolo Tennis Calisio,,,
5006,Circolo Tennis Grillo,,,
5007,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
5034,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
5035,Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,,,
5036,Tennis Club Associazione Sportiva Dilettantistica,True,,clay
5037,Tennisclub Dilettanti Laghetti,,,
5049,Circolo Tennis Arco,,,
5056,Circolo Tennis Trento,,,
5121,Circolo Tennis Calisio,,,
5122,Circolo Tennis Grillo,,,
5123,Circolo Tennis Lavarone A.S.D.,,,
5124,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
5125,Circolo Tennis Rovereto Asd,,,
5126,Circolo Tennis Rovereto,,,
5127,Circolo Tennis Torbole,True,,grass
5162,Tennis Club Associazione Sportiva Dilettantistica,True,,clay
