name;address;comune;open_hours;phone_number;website
Centro Polisportivo Borgo Valsugana;Via Giuseppe Gozzer, 52;Borgo Valsugana;sunday: 09:00 - 21:00, monday: 09:00 - 21:00, tuesday: 09:00 - 21:00, wednesday: 09:00 - 21:00, thursday: 09:00 - 21:00, friday: 09:00 - 21:00, saturday: 09:00 - 21:00;0461753836;
Centro Sportivo Di Trilacum;Via 12 Settembre, 6;Trento;sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00;0461866471;
Centro Sportivo M. Zorzi Mattarello;Via del Capitel, 3;Trento;tuesday: 08:30 - 12:30 / 14:30 - 17:00, wednesday: 08:30 - 12:30 / 14:30 - 17:00, thursday: 08:30 - 12:30 / 14:30 - 17:00, friday: 08:30 - 12:30 / 14:30 - 17:00, saturday: 08:30 - 12:30;0461959812;
Centro Sportivo Manazzon;Via Fogazzaro Antonio, 2;Trento;sunday: 09:00 - 19:00, monday: 09:00 - 13:00;0461924248;
Centro Sportivo Melta;Via 25 Aprile, 10;Trento;;0461959812;
Centro Sportivo Trento Nord Gardolo;Via IV Novembre, 23/4;Trento;sunday: 09:00 - 21:00, monday: 09:00 - 21:00, tuesday: 09:00 - 21:00, wednesday: 09:00 - 21:00, thursday: 09:00 - 21:00, friday: 09:00 - 21:00, saturday: 09:00 - 21:00;0461959812;
Circolo Ippico Castel Beseno;Via Morini, 26;Calliano;sunday: 14:00 - 15:00, monday: 14:00 - 15:00, wednesday: 14:00 - 15:00, thursday: 14:00 - 15:00, friday: 14:00 - 15:00, saturday: 14:00 - 15:00;0464834483;
Circolo Tennis Borgo Assoc.Sport.Dilettantistica;Piazza Mercato, 12;Borgo Valsugana;sunday: 09:00 - 22:00, monday: 09:00 - 22:00, tuesday: 09:00 - 22:00, wednesday: 09:00 - 22:00, thursday: 09:00 - 22:00, friday: 09:00 - 22:00, saturday: 09:00 - 22:00;0461753711;
Circolo Tennis Calisio;Via Pradiscola, 1;Trento;sunday: 09:00 - 23:00, monday: 09:00 - 23:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00;0461820040;
Circolo Tennis Grillo;Via San Pio X, 117;Trento;sunday: 09:00 - 23:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00;0461925234;
Circolo Tennis Rovereto Asd;Via Lungo Leno Destro, 25;Rovereto;sunday: 07:30 - 22:00, monday: 07:30 - 22:00, tuesday: 07:30 - 22:00, wednesday: 07:30 - 22:00, thursday: 07:30 - 22:00, friday: 07:30 - 22:00, saturday: 07:30 - 22:00;0464439377 0464431045;
Circolo Tennis Rovereto;Via della Roggia, 43;Rovereto;sunday: 09:00 - 20:00, monday: 09:00 - 20:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00;0464431045;
Comune di Asiago;Via Stazione, 1;Asiago;;042464144;
Ecosport Italia S.r.l.;Via Avisio, 24;Trento;;3295459087 043882778 0438837210;
Golf Club Folgaria;Localit Maso Spilzi;Folgaria;;0464720480;
Ice Rink Pin;Via dello Via dello Stadio, 17;Baselga di Pin;sunday: 09:00 - 12:30, tuesday: 09:00 - 12:30 / 14:00 - 16:30, wednesday: 09:00 - 12:30 / 14:00 - 16:30, thursday: 09:00 - 12:30 / 14:00 - 16:30, friday: 09:00 - 12:30 / 14:00 - 16:30, saturday: 09:00 - 12:30 / 14:00 - 16:30;0461554167;
Ice Rink Pine';Via dello Stadio Fraz Miola 17;Baselga di Pin;;0461554167;
Ice Rink Pine' S.r.l.;Frazione Miola, 17;Baselga di Pin;;0461557476;
Imperial Center;Via Maccani Ezio, 88;Trento;;3917414107 0461262403;
Istituto Superiore Don Milani - Depero;Via Balista, 2;Rovereto;sunday: 08:00 - 22:00, monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00;0464485511;
Joyfitness Club;Localit Acquaviva, 4;Trento;sunday: 10:00 - 17:00, tuesday: 10:00 - 22:00, wednesday: 10:00 - 22:00, thursday: 10:00 - 22:00, friday: 10:00 - 22:00, saturday: 10:00 - 22:00;3286165313;
Juta Center;Via Galilei Galileo, 32;Trento;sunday: 10:00 - 20:00, tuesday: 07:00 - 22:30, wednesday: 07:00 - 22:30, thursday: 07:00 - 22:30, friday: 07:00 - 22:30, saturday: 07:00 - 22:30;0461230797 3887278568;
Leno 2001;Via Udine, 18;Rovereto;;0464400315;
Maestri di Sci e Snowboard Cristallo A.T.P.;Localita' Vason, 110;Trento;;3806328814;
Navarini;Via Filari Longhi, 2/A;Trento;sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59;0461959812;
Pala Odegar;Piazza della Stazione, 1;Asiago;sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59;042464144;
Palaghiaccio Palafolgaria;Via Nazioni Unite, 46;Folgaria;;0464720337;
Palasport di Folgaria;Via Nazioni Unite, 21/B;Folgaria;;0464720277;
Palazzetto dello Sport;Via Piomarta, 1;Rovereto;;0464413377 0464438055;
Palestra Povo;Via dei Masi, 6;Trento;;0461959812;
Piscina Comunale;Via Giuseppe Gozzer, 52;Borgo Valsugana;;0461241833 0461751227;
