name;address;comune;open_hours;phone_number;website
Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica;Via Brescia, 88;Dimaro Folgarida;"""sunday: 09:00 - 12:00 / 15:00 - 19:00, monday: 09:00 - 12:00 / 15:00 - 19:00, tuesday: 09:00 - 12:00 / 15:00 - 19:00, wednesday: 09:00 - 12:00 / 15:00 - 19:00, thursday: 09:00 - 12:00 / 15:00 - 19:00, friday: 09:00 - 12:00 / 15:00 - 19:00, saturday: 09:00 - 12:00 / 15:00 - 19:00""";0463970004;
Tennis Club Bronzolo Branzoll Sportiva Dilettantistica;Via Aldino, 23;Bronzolo;"""""";3474479818 0471967351 3317351051;
Tennis Club Ora;Localita' Rio Nero, 1;Ora;"""""";0471810272;
Tennis Sparer;Via Monticolo, 80;Appiano sulla Strada del Vino;"""sunday: 09:00 - 22:00, monday: 09:00 - 18:00, tuesday: 09:00 - 22:00, wednesday: 09:00 - 22:00, thursday: 09:00 - 22:00, friday: 09:00 - 22:00, saturday: 09:00 - 22:00""";3387629002 0471664657;
Tennisclub Dilettanti Laghetti;Via Cauria, 57;Egna;"""""";3407433050;
Tennisclub Neumarkt;Via Schiesstandweg, 4;Egna;"""""";0471812438;
Tiro a Segno Nazionale;Via San Maurizio, 56;Bolzano;"""sunday: 14:00 - 18:30, thursday: 14:00 - 19:00, friday: 14:00 - 17:00""";0471280292;
Tiro a Segno Nazionale - Sezione Appiano S. Michele;Via Cappuccini, 25/A;Appiano sulla Strada del Vino;"""""";0471664588;
Weisshorn S.p.a. % Weisshorn A.G.;Localita' Unterrain, 5;Nova Ponente;"""""";0471615122;
Wild Goose Stadium;Via Roma, 14;Egna;"""""";0471812649;
Scuola Italiana Sci CCM Campiglio;Via Zeledria, 8;Pinzolo;"""sunday: 08:00 - 19:00, monday: 08:00 - 19:00, tuesday: 08:00 - 19:00, wednesday: 08:00 - 19:00, thursday: 08:00 - 19:00, friday: 08:00 - 19:00, saturday: 08:00 - 19:00""";0465443222;
