name;address;comune;open_hours;phone_number;website
Golf Club Campo Carlo Magno;Via Cima Tosa, 15;Pinzolo;"""sunday: 08:00 - 18:00, monday: 08:00 - 18:00, tuesday: 08:00 - 18:00, wednesday: 08:00 - 18:00, thursday: 08:00 - 18:00, friday: 08:00 - 18:00, saturday: 08:00 - 18:00""";0465440622;
Golf Club Rovereto;Viale Caproni Giovanni, 44;Rovereto;"""""";3666432648;
"Gym ""G. Pascoli""";Via Znojmo, 24;Trento;"""""";0461992990;
Hotel Maroni;Via Casarino, 1;Ledro;"""sunday: 09:00 - 19:00, monday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00""";0464508198;
Imperial Center;Via Maccani Ezio, 88;Trento;"""""";3917414107 0461262403;
Istituto Superiore Don Milani - Depero;Via Balista, 2;Rovereto;"""sunday: 08:00 - 22:00, monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00""";0464485511;
Joyfitness Club;Localit Acquaviva, 4;Trento;"""sunday: 10:00 - 17:00, tuesday: 10:00 - 22:00, wednesday: 10:00 - 22:00, thursday: 10:00 - 22:00, friday: 10:00 - 22:00, saturday: 10:00 - 22:00""";3286165313;
Juta Center;Via Galilei Galileo, 32;Trento;"""sunday: 10:00 - 20:00, tuesday: 07:00 - 22:30, wednesday: 07:00 - 22:30, thursday: 07:00 - 22:30, friday: 07:00 - 22:30, saturday: 07:00 - 22:30""";0461230797 3887278568;
Leno 2001;Via Udine, 18;Rovereto;"""""";0464400315;
Madonna Bianca;Via Bettini Angelo, 2;Trento;"""""";0461390785;
Maestri di Sci e Snowboard Cristallo A.T.P.;Localita' Vason, 110;Trento;"""""";3806328814;
Maneggio H-Cadr;Via Piave, 84;Ledro;"""""";0464508292;
Markspeed Race di Marchesan Gianni;Via Nambino, 27;Pinzolo;"""""";3356266636;
Navarini;Via Filari Longhi, 2/A;Trento;"""sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59""";0461959812;
Palagarda;Via San Tommaso, 69;Riva del Garda;"""""";0464555772 0464554551;
Palazzetto dello Sport;Via Piomarta, 1;Rovereto;"""""";0464438055 0464413377;
Palazzetto Polifunzionale dello Sport di Molveno;Localit Ischia;Molveno;"""tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00""";0461586978;
Palestra Povo;Via dei Masi, 6;Trento;"""""";0461959812;
Piscina Comunale Arco;Via Legionari Cecoslovacchi, 14;Arco;"""""";0464517000 0464516830;
Piscina Comunale Enrico Meroni;Piazza Contini Maria, 5;Riva del Garda;"""""";0464520078;
Riva S.a.s. di Schneider Wilma e C.;Viale Tigli, 40;Riva del Garda;"""""";3292146937 0464552072;
Salone Dolores di Beltrami Dolores per Lei e per Lui;Via Vittorio Veneto, 4;Pinzolo;"""""";347459619 337459619;
S.S. Buonconsiglio Nuoto;Via Fogazzaro Antonio, 4;Trento;"""""";0461961625 0461910464 0461416164;
S.S. Buonconsiglio Nuoto;Via IV Novembre, 23;Trento;"""""";0461416162 0461910464 0461961625 0461416164 0461416163;
Stadio Quercia;Via Palestrina, 3;Rovereto;"""""";;
Studio Tecnico Associato Gasperotti di Ing. Dott. Gasperotti Luca ed Ing. Dott. Gasperotti Giorgio;Salita S. Agata, 23;Trento;"""""";0461811409;
Tennis Club C10 Ass.Sportiva Dilettantistica;Via della Roggia;Rovereto;"""""";0464431045;
Tennis Club;Via San Giovanni, 20;Mori;"""sunday: 09:00 - 23:00, monday: 09:00 - 23:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00""";0464917149;
Tennisclinic;Via Belluno, 4;Riva del Garda;"""""";3270808849;
Trim;Via Chini Eusebio, 99/1;Trento;"""sunday: 09:00 - 12:30 / 14:30 - 18:00, tuesday: 09:00 - 21:00, wednesday: 09:00 - 21:00, thursday: 09:00 - 21:00, friday: 09:00 - 21:00, saturday: 09:00 - 21:00""";0461924604 0461912600;
Vela Centro Sportivo;Localit Vela;Trento;"""sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59""";0461959812;
Woody Valley S.r.l.;Localita' Spini;Trento;"""""";0461950811;
Woody Valley S.r.l.;Via Vienna, 92;Trento;"""""";360041005200;
Atletica Alto Garda E Ledro;Via Pomerio, 9;Arco;"""tuesday: 07:00 - 23:59, wednesday: 07:00 - 23:59, thursday: 07:00 - 23:59, friday: 07:00 - 23:59, saturday: 07:00 - 23:59""";0464510346;
Societa' Sportiva Dilettantistica Golden Gym;Via Terranera, 24/B;Mori;"""sunday: 10:00 - 12:30, tuesday: 09:00 - 21:30, wednesday: 09:00 - 21:30, thursday: 09:00 - 21:30, friday: 09:00 - 21:30, saturday: 09:00 - 21:30""";3398423054 3482105688;
Funivie Pinzolo Spa;Via Bolognini, 84;Pinzolo;"""sunday: 08:00 - 12:00 / 14:00 - 17:30, monday: 08:00 - 12:00 / 14:00 - 17:30, tuesday: 08:00 - 12:00 / 14:00 - 17:30, wednesday: 08:00 - 12:00 / 14:00 - 17:30, thursday: 08:00 - 12:00 / 14:00 - 17:30, friday: 08:00 - 12:00 / 14:00 - 17:30, saturday: 08:00 - 12:00 / 14:00 - 17:30""";0465501256;
A.S.I.S.;Via IV Novembre, 23/4;Trento;"""""";0461992888 0461959799 0461992990;
Scuola Italiana Sci CCM Campiglio;Via Zeledria, 8;Pinzolo;"""sunday: 08:00 - 19:00, monday: 08:00 - 19:00, tuesday: 08:00 - 19:00, wednesday: 08:00 - 19:00, thursday: 08:00 - 19:00, friday: 08:00 - 19:00, saturday: 08:00 - 19:00""";0465443222;
