name;address;comune;open_hours;phone_number;website
S.S. Buonconsiglio Nuoto;Via IV Novembre, 23;Trento;;0461416163 0461416162 0461961625 0461416164 0461910464;
S.S.D. Rari Nantes Valsugana a R.L.;Corso Ausugum, 22;Borgo Valsugana;;0461751227 0461241833;
S.S.D. Rari Nantes Valsugana a R.L.;Via Trieste, 7;Roncegno Terme;;0461525178;
Tc Rungg Asv;Via Maso Ronco;Appiano sulla Strada del Vino;sunday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00;0471663104;
Technoalpin S.p.a.;Via Vurza, 5;Laives;;0471254236;
Technoalpin S.p.a.;Via Piero Agostini, 2;Bolzano;;0471200061 0471550522 0471550605 0471550534 0471550524;
Tennis Academy Service A.S.D.;Via Nazionale, 23;Bronzolo;sunday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00;3283786609;
Tennis Club Bronzolo Branzoll Sportiva Dilettantistica;Via Aldino, 23;Bronzolo;;3474479818 0471967351 3317351051;
Tennis Sparer;Via Monticolo, 80;Appiano sulla Strada del Vino;sunday: 09:00 - 22:00, monday: 09:00 - 18:00, tuesday: 09:00 - 22:00, wednesday: 09:00 - 22:00, thursday: 09:00 - 22:00, friday: 09:00 - 22:00, saturday: 09:00 - 22:00;3387629002 0471664657;
Tiro a Segno Nazionale - Sezione Appiano S. Michele;Via Cappuccini, 25/A;Appiano sulla Strada del Vino;;0471664588;
Weisshorn S.p.a. % Weisshorn A.G.;Via Obereggen - Eggen, 31;Nova Ponente;;0471615511 0471615627 0471615122;
Weisshorn S.p.a. % Weisshorn A.G.;Localita' Unterrain, 5;Nova Ponente;;0471615122;
Woody Valley S.r.l.;Localita' Spini;Trento;;0461950811;
Woody Valley S.r.l.;Via Vienna, 92;Trento;;360041005200;
Zelger Albert S.r.l.;Localit Stenk,, 6/C;Nova Ponente;;0471618084 04711969950;
Zelger Albert;Localita' Stenk, 6;Nova Ponente;;0471618084 04711969950;
A.S.I.S.;Via IV Novembre, 23/4;Trento;;0461992990 0461992888 0461959799;
