Titolo,Titolo breve,Immagine,Descrizione,Locandina dell'evento,Inizio,Termine,Durata,Quando,Dove,Informazioni,Destinatari,Costi,Stato,Materia,Circoscrizione,Argomento,Tipologia evento,Manifestazione cui fa parte,Associazione,Progressivo,Sottotitolo,Orario,Posizione geografica,Fonte
"Rassegna san Gottardo: Prova d'Amore a cura dell'Associazione ""La Sortiva"" di Denno",,var/mezzocorona/storage/images/turismo/calendario-eventi/rassegna-san-gottardo-prova-d-amore-a-cura-dell-associazione-la-sortiva-di-denno/418866-1-ita-IT/Rassegna-san-Gottardo-Prova-d-Amore-a-cura-dell-Associazione-La-Sortiva-di-Denno.jpg|,"Continua la Rassegna san Gottardo con la commediaProva d'Amore a cura dell'Associazione &quot,La Sortiva&quot, di Dennotesto di Ernesto Paternoster4.5.2024 h. 20.45",,04/05/2024,04/05/2024,,,,,,,,,,,Evento singolo,,,,,,,
Rassegna San Gottardo: El sior paron Bortolo della Filo di Cognola,,var/mezzocorona/storage/images/turismo/calendario-eventi/rassegna-san-gottardo-el-sior-paron-bortolo-della-filo-di-cognola/418891-1-ita-IT/Rassegna-San-Gottardo-El-sior-paron-Bortolo-della-Filo-di-Cognola.jpg|,Per la Rassegna San Gottardo si propone la commedia:El sior paron Bortolo della Filo di Cognola2.3.24 h. 20.45 presso teatro S. Gottardo,,02/03/2024,02/03/2024,,,,,,,,,,,Evento singolo,,,,,,,
Rassegna san Gottardo Tuti en terapia di Gloria Gabrielli,,var/mezzocorona/storage/images/turismo/calendario-eventi/rassegna-san-gottardo-tuti-en-terapia-di-gloria-gabrielli/418916-1-ita-IT/Rassegna-san-Gottardo-Tuti-en-terapia-di-Gloria-Gabrielli.jpg|,"Per la serie Rassegna san Gottardo è proposta la commedia&nbsp,Tuti en terapia di Gloria Gabrielli16.3.24 h. 20.45presso teatro san Gottardo",,16/03/2024,16/03/2024,,,,,,,,,,,Evento singolo,,,,,,,
Rassegna teatrale S. Gottardo: Le bosie le g'ha le gambe corte della Filo Toblino,,var/mezzocorona/storage/images/turismo/calendario-eventi/rassegna-teatrale-s.-gottardo-le-bosie-le-g-ha-le-gambe-corte-della-filo-toblino/418941-1-ita-IT/Rassegna-teatrale-S.-Gottardo-Le-bosie-le-g-ha-le-gambe-corte-della-Filo-Toblino.jpg|,Rassegna teatrale S. Gottardo: Le bosie le g'ha le gambe corte della Filo Toblino20.4.2024 h. 20.45presso teatro S. Gottardo,,20/04/2024,20/04/2024,,,,,,,,,,,Evento singolo,,,,,,,
Rassegna teatrale S. Gottardo: Ajo della filo di Sopramonte,,var/mezzocorona/storage/images/turismo/calendario-eventi/rassegna-teatrale-s.-gottardo-ajo-della-filo-di-sopramonte/418991-2-ita-IT/Rassegna-teatrale-S.-Gottardo-Ajo-della-filo-di-Sopramonte.jpg|,Rassegna teatrale S. Gottardo: Ajo della filo di Sopramonte6.4.24 h. 20.45presso teatro san Gottardo,,06/04/2024,06/04/2024,,,,,,,,,,,Evento singolo,,,,,,,
"Margherita Dolce Vita : commedia dei genitori ""Improvisattori"" per famiglie",,var/mezzocorona/storage/images/turismo/calendario-eventi/margherita-dolce-vita-commedia-dei-genitori-improvisattori-per-famiglie/419360-1-ita-IT/Margherita-Dolce-Vita-commedia-dei-genitori-Improvisattori-per-famiglie.jpg|,"La commedia &quot,Margherita Dolce Vita&quot, dei genitori &quot,Improvvisattori&quot, per famiglieil 9 e 10 marzo alle 17.00presso il Teatro San Gottardo di Mezzocoronail ricavato sarà destinato all'Oratorio di Mezzocorona",,09/03/2024,10/03/2024,,,,,,,,,,,Evento singolo,,,,,,,
"""Forza Mina"" con i ragazzi della Filodrammatica di Roverè della Luna",,var/mezzocorona/storage/images/turismo/calendario-eventi/forza-mina-con-i-ragazzi-della-filodrammatica-di-rovere-della-luna/419385-2-ita-IT/Forza-Mina-con-i-ragazzi-della-Filodrammatica-di-Rovere-della-Luna.jpg|,"&quot,Forza Mina&quot, con i ragazzi della Filodrammatica di Roverè della Lunapresso il teatro parrocchiale di Mezzocorona25 febbraio 2024 h. 16.00Entrata liberaLe offerte saranno devolute all'Associazione Mato grosso per finanziare un progetto in Ecuador.si veda la locandina allegata",,25/02/2024,,,,,,,,,,,,Evento singolo,,,,,,,
"Mostra d'Arte di Thomas Belz ""I colori di domani""",,var/mezzocorona/storage/images/turismo/calendario-eventi/mostra-d-arte-di-thomas-belz-i-colori-di-domani/420095-1-ita-IT/Mostra-d-Arte-di-Thomas-Belz-I-colori-di-domani.png|,,,01/03/2024,07/03/2024,,,,,,,,,,,Evento singolo,,,,,,,
"Mostra filatelica e numismatica ""Donne nella storia"" di Luigi Ress",,var/mezzocorona/storage/images/turismo/calendario-eventi/mostra-filatelica-e-numismatica-donne-nella-storia-di-luigi-ress/420350-1-ita-IT/Mostra-filatelica-e-numismatica-Donne-nella-storia-di-Luigi-Ress.png|,"Al piano terra della biblioteca di Mezzocorona è prevista la mostra&nbsp,filatelica e numismatica &quot,Donne nella storia&quot, a cura di Luigi Ress dal giorno 8 al giorno 21 marzo 2004.&nbsp,Essa è visitabile in orario di apertura della biblioteca",,08/03/2024,21/03/2024,,,,,,,,,,,Evento singolo,,,,,,,
"La biblioteca propone sul monte di Mezzocorona ""Chi cerca trova"" ",,var/mezzocorona/storage/images/turismo/calendario-eventi/la-biblioteca-propone-sul-monte-di-mezzocorona-chi-cerca-trova/420375-1-ita-IT/La-biblioteca-propone-sul-monte-di-Mezzocorona-Chi-cerca-trova.jpg|,"La biblioteca propone sul monte di Mezzocorona &quot,Chi cerca trova...11 Variopinte uova”&nbsp,sul Monte di Mezzocorona dal&nbsp, 10 marzo al 10 aprile 2024La biblioteca propone una caccia alle uova nascoste in 11 posti speciali del Monte, individuabili su una mappa da ritirare in biblioteca: ogni uovo si trova appeso e bisogna solo trovarlo ed individuarne il colore (non prenderlo!).I bambini che desiderano partecipare possono iscriversi in biblioteca e ritirare un poster, da colorare secondo le indicazioni delle uova trovate negli 11 posti speciali. Se il disegno del poster sarà riportato in biblioteca entro il 10/04/2024 colorato correttamente il bimbo riceverà un premio (è sufficiente colorare 10 su 11 aree).L’iniziativa è un invito alla passeggiata per gli adulti e una divertente caccia al tesoro&nbsp,alla scoperta del Monte per i bimbi e le bimbe dai 4 ai 10 anni.Foto di Mattia Digilio",,10/03/2024,10/04/2024,,,,,,,,,,,Evento singolo,,,,,,,
