indirizzo,immagine,url,abstract_text,abstract,nome,lon,modifica,link,lat
giovedì 27 gennaio 2022 dalle 16:00 alle 16:30 Piazzale orsi - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/incontro82/1757017-2-ita-IT/Incontro.png,https://www.comune.rovereto.tn.it/openpa/object/135559,Un giorno come tanti altri. Una giornata come tutte le altre. Solo con un concetto in più: quello di Memoria.,<p>Un giorno come tanti altri. Una giornata come tutte le altre. Solo con un concetto in più: quello di Memoria.</p>,Giornata della Memoria 2022 ,11.034919,2022-01-24,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135559,45.89121
venerdì 21 gennaio 2022 dalle 20.00 alle 21.00 Su piattaforma ZOOM,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/webinar-esperienziale-gratuito13/1757821-1-ita-IT/Webinar-esperienziale-gratuito.png,https://www.comune.rovereto.tn.it/openpa/object/135599,Francesca Miceli Lilith propone una meditazione online gratuita,<p><strong>Francesca Miceli Lilith</strong> propone una meditazione online gratuita</p>,Giungere al cuore con la meditazione - Filo di Arianna,11.043673,2022-01-20,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135599,45.893237
domenica 16 gennaio 2022 dalle 11.00 alle 12.30 in diretta streaming,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/concerto-in-diretta-streaming3/1756770-1-ita-IT/concerto-in-diretta-streaming.png,https://www.comune.rovereto.tn.it/openpa/object/135544,Concerto con EMILIO PAVANELLO pianoforte,<p>Concerto con <strong>EMILIO PAVANELLO</strong> <em>pianoforte</em></p>,MATINÉE IN CASA MOZART - EMILIO PAVANELLO pianoforte (in streaming),11.045181,2022-01-12,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135544,45.887376
sabato 15 gennaio 2022 dalle ore 20.30 alle ore 22.00 Chiesa di Santa Caterina - Borgo Santa Caterina - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/concerto131/1756225-4-ita-IT/concerto.jpg,https://www.comune.rovereto.tn.it/openpa/object/135499,"Associazione Cameristica “Rovereto” in collaborazione con Parrocchia di S.ta Caterinaorganizza un concerto con il gruppo strumentale &quot,R. Dionisi&quot,","<p>Associazione Cameristica “Rovereto” in collaborazione con Parrocchia di S.ta Caterina</p><p>organizza un concerto con il gruppo strumentale &quot,R. Dionisi&quot,</p>","""Non solo Mozart....""",11.039098,2022-01-13,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135499,45.889747
martedì 11 gennaio 2022 dalle20.30 alle 21.30 Su piattaforma ZOOM,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/webinar-esperienziale-gratuito12/1756041-1-ita-IT/Webinar-esperienziale-gratuito.png,https://www.comune.rovereto.tn.it/openpa/object/135492,Prosegue il percorso di Filo di Arianna con un intervento del Dr. Paolo Rocchetti,<p>Prosegue il percorso di Filo di Arianna con un intervento del Dr. <strong>Paolo Rocchetti</strong></p>,Meditazione per la manifestazione del nuovo mondo - Filo di Arianna,11.043673,2022-01-10,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135492,45.893237
giovedì 06 gennaio 2022 dalle 15.30 alle 17.30 Per le vie del centro storico - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/spettacolo30/1753317-1-ita-IT/spettacolo.jpg,https://www.comune.rovereto.tn.it/openpa/object/135268,Con l’arrivo della Befana si chiudono in bellezza le festività.,<p>Con l’arrivo della Befana si chiudono in bellezza le festività.</p>,Arriva la Befana - Natale di Luce a Rovereto,11.04378,2021-12-23,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135268,45.890069
mercoledì 05 gennaio 2022 dalle 15.30 alle 16.30 Per le vie del centro storico - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/concerto143/1753282-1-ita-IT/concerto.jpg,https://www.comune.rovereto.tn.it/openpa/object/135267,Sfilata della Banda di Rovereto,<p>Sfilata della Banda di Rovereto</p>,La Banda di Rovereto - Natale di Luce a Rovereto,11.04378,2021-12-22,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135267,45.890069
martedì 04 gennaio 2022 dalle 15.30 alle 16.30 Per le vie del centro storico - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/concerto140/1752667-2-ita-IT/concerto.jpg,https://www.comune.rovereto.tn.it/openpa/object/135240,Sfilata della Banda di Rovereto,<p>Sfilata della Banda di Rovereto</p>,La Banda di Rovereto - Natale di Luce a Rovereto,11.04378,2021-12-22,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135240,45.890069
martedì 04 gennaio 2022 dalle 15.30 alle 17.00 per il centro storico della città - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/musica-e-spettacolo3/1753212-1-ita-IT/musica-e-spettacolo.jpg,https://www.comune.rovereto.tn.it/openpa/object/135265,Spettacolo itinerante con il gruppo Zampognaro Lagaro.,<p>Spettacolo itinerante con il gruppo Zampognaro Lagaro.</p>,Zampognaro Lagaro  - Natale di Luce a Rovereto,11.04378,2021-12-22,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135265,45.890069
domenica 02 gennaio 2022 dalle 15.30 alle 17.00 Centro storico - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/concerto139/1752422-3-ita-IT/concerto.jpg,https://www.comune.rovereto.tn.it/openpa/object/135233,Sfilata della Banda Felice e Gregorio Fontana di Pomarolo,<p>Sfilata della Banda Felice e Gregorio Fontana di Pomarolo</p>,Concerto della Banda di Pomarolo - Natale di Luce a Rovereto,11.045321,2021-12-22,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135233,45.888694
domenica 02 gennaio 2022 dalle 11.00 alle 13.00 per il centro storico della città - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/musica-e-spettacolo2/1752772-1-ita-IT/musica-e-spettacolo.jpg,https://www.comune.rovereto.tn.it/openpa/object/135243,Spettacolo itinerante con la Wind Orchestra,<p>Spettacolo itinerante con la Wind Orchestra</p>,Wind Orchestra - Natale di Luce a Rovereto,11.04378,2021-12-29,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135243,45.890069
giovedì 30 dicembre 2021 dalle 15.30 alle 16.30 Piazza Loreto - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/racconti-fiabe/1753957-1-ita-IT/racconti-fiabe.jpg,https://www.comune.rovereto.tn.it/openpa/object/135294,Racconti con le fiabe della Walt Disney (piazza Loreto),<p>Racconti con le fiabe della Walt Disney (piazza Loreto)</p>,Le fiabe di Walt Disney - Natale di Luce a Rovereto,11.04319,2021-12-23,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135294,45.890269
mercoledì 29 dicembre 2021 dalle 17.30 alle 18.30 Via Mazzini angolo via Scuole - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/concerto145/1753922-1-ita-IT/concerto.jpg,https://www.comune.rovereto.tn.it/openpa/object/135293,Concerto del coro Bianche Zime,<p>Concerto del coro Bianche Zime</p>,Concerto del coro Bianche Zime - Natale di Luce a Rovereto,11.042134,2021-12-22,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135293,45.890329
martedì 28 dicembre 2021 dalle 15.30 alle 17.00 per il centro storico della città - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/musica-e-spettacolo4/1753887-1-ita-IT/musica-e-spettacolo.jpg,https://www.comune.rovereto.tn.it/openpa/object/135292,Spettacolo itinerante con il gruppo Zampognaro Lagaro.,<p>Spettacolo itinerante con il gruppo Zampognaro Lagaro.</p>,Zampognaro Lagaro  - Natale di Luce a Rovereto,11.04378,2021-12-22,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135292,45.890069
lunedì 27 dicembre 2021 dalle 15.30 alle 17.00 Piazza Loreto - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/spettacolo31/1753691-1-ita-IT/spettacolo.jpg,https://www.comune.rovereto.tn.it/openpa/object/135282,Cinema all'aperto ,<p>Cinema all'aperto </p>,Cine show - cinema all'aperto - Natale di Luce a Rovereto,11.04319,2021-12-22,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135282,45.890269
domenica 26 dicembre 2021 dalle 15.00 alle 16.00 Piazza Loreto - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/concerto144/1753656-1-ita-IT/concerto.jpg,https://www.comune.rovereto.tn.it/openpa/object/135281,Concerto con il cantante lirico Riccardo Cis.,<p>Concerto con il cantante lirico <strong>Riccardo Cis</strong>.</p>,Concerto di Natale - Natale di Luce a Rovereto,11.04319,2021-12-22,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135281,45.890269
domenica 26 dicembre 2021 dalle 11.00 alle 12.30 per il centro storico della città - 38068 Rovereto TN,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/musica2/1753621-1-ita-IT/musica.jpg,https://www.comune.rovereto.tn.it/openpa/object/135280,Spettacolo itinerante con il Mastro Zampognaro,<p>Spettacolo itinerante con il Mastro Zampognaro</p>,Mastro Zampognaro  - Natale di Luce a Rovereto,11.04378,2021-12-22,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135280,45.890069
