sport,name,location,date,guests
Basket,"BEBE VIO GRANDIS PARIS, JE TAIME!","{'name': 'Teatro Sociale', 'address': 'Via Paolo Oss-Mazzurana, 19, 38122 Trento TN'}",2024-10-13 10:00:00,"['Vittoria Bianco', 'Giuliana Chiara Filippi', 'Alessandro Sbuelz', 'Elisa Spediacci', 'Bebe Vio Grandis']"
Basket,GIOCA CON NOI: ALBATROSS E UNIPOL BRIANTEA84 CANT,"{'name': 'Piazza Fiera', 'address': 'Piazza di Fiera, 38122 Trento TN'}",2024-10-13 11:30:00,[]
Basket,ANDRE IGUODALA: MONSIEUR NBA,"{'name': 'Auditorium Santa Chiara', 'address': 'Via S. Croce, 67 - 38122 Trento'}",2024-10-13 12:30:00,['Andre Iguodala']
Calcio,"LIBRI DI SPORT: LA MIA VITA DA NUMERO 10
Libri di sport","{'name': 'Palazzo Geremia', 'address': 'Via Rodolfo Belenzani, 20 Trento, TN'}",2024-10-10 16:00:00,"['Evaristo Beccalossi', 'Eleonora Rossi']"
Calcio,CESC FBREGAS IL GENIO SPAGNOLO,"{'name': 'Filarmonica', 'address': 'Via Giuseppe Verdi, 30, 38122 Trento TN'}",2024-10-10 17:30:00,['Cesc Fàbregas']
Calcio,ZONA CESARINI ITALIA-BELGIO NATIONS LEAGUE,"{'name': 'Piazza Cesare Battisti', 'address': 'Piazza Cesare Battisti - 38122 Trento'}",2024-10-10 20:30:00,[]
Calcio,FOOTBALL BUSINESS FORUM KICK-OFF,"{'name': 'Teatro Sociale', 'address': 'Via Paolo Oss-Mazzurana, 19, 38122 Trento TN'}",2024-10-11 11:00:00,"['Alessandro Barnaba', 'Urbano Cairo', 'Stefano Caselli', 'Leonardo Nascimento de Araujo', 'Javier Tebas', 'Edwin Van Der Sar', 'André Villas-Boas']"
Calcio,"CAIRO, FENUCCI, LOTITO, MAROTTA, PERCASSI, SCARONI E SUWARSO GLI STATI GENERALI DEL CALCIO ITALIANO","{'name': 'Teatro Sociale', 'address': 'Via Paolo Oss-Mazzurana, 19, 38122 Trento TN'}",2024-10-11 14:30:00,"['Urbano Cairo', 'Claudio Fenucci', 'Claudio Lotito', 'Beppe Marotta', 'Luca Percassi', 'Paolo Scaroni', 'Mirwan Suwarso']"
Calcio,"LIBRI DI SPORT: L'ARTE DI PARARE. TROVARE IL CORAGGIO PER FRONTEGGIARE I TIRI DELLA VITA
Libri di sport","{'name': 'Piazza del Duomo', 'address': 'Piazza Del Duomo  - 38122 Trento'}",2024-10-11 15:00:00,['Stefano Tacconi']
Calcio,"LIBRI DI SPORT: TRA LA CHAMPIONS E LA LIBERT
Libri di sport","{'name': 'Piazza del Duomo', 'address': 'Piazza Del Duomo  - 38122 Trento'}",2024-10-11 16:00:00,['Michele Padovano']
Calcio,PIERLUIGI COLLINA IL BSMT PASSA DAL FESTIVAL DELLO SPORT,"{'name': 'Teatro Sociale', 'address': 'Via Paolo Oss-Mazzurana, 19, 38122 Trento TN'}",2024-10-11 17:30:00,"['Pierluigi Collina', 'Gianluca Gazzoli']"
Calcio,IL MILAN DEGLI INVINCIBILI,"{'name': 'Auditorium Santa Chiara', 'address': 'Via S. Croce, 67 - 38122 Trento'}",2024-10-11 18:00:00,"['Demetrio Albertini', 'Zvonimir Boban', 'Fabio Capello', 'Alessandro Costacurta', 'Marcel Desailly', 'Roberto Donadoni', 'Filippo Galli', 'Adriano Galliani', 'Mario Ielpo', 'Stefano Nava', 'Florin Răducioiu', 'Sebastiano Rossi', 'Mauro Tassotti']"
Calcio,GIAN PIERO GASPERINI: LA DEA IN PARADISO,"{'name': 'Teatro Sociale', 'address': 'Via Paolo Oss-Mazzurana, 19, 38122 Trento TN'}",2024-10-11 20:00:00,"['Cristina Bombassei', 'Gian Piero Gasperini']"
Calcio,"LIBRI DI SPORT: STORIA DEL MONDO IN 12 PARTITE DI CALCIO
Libri di sport","{'name': 'Piazza del Duomo', 'address': 'Piazza Del Duomo  - 38122 Trento'}",2024-10-12 10:00:00,['Stefano Bizzotto']
Calcio,CAFU: IL PENDOLINO,"{'name': 'Teatro Sociale', 'address': 'Via Paolo Oss-Mazzurana, 19, 38122 Trento TN'}",2024-10-12 14:00:00,['Cafu']
Calcio,DIEGO DELLA VALLE: L'ELEGANZA DELLA VITTORIA,"{'name': 'Filarmonica', 'address': 'Via Giuseppe Verdi, 30, 38122 Trento TN'}",2024-10-12 14:30:00,['Diego Della Valle']
Calcio,DANIELE ORSATO: PROFESSIONE ARBITRO,"{'name': 'Sala Depero', 'address': 'Piazza Dante 15, 38122 Trento'}",2024-10-12 15:30:00,['Daniele Orsato']
Calcio,FRANCESCO FARIOLI: IL MIO CALCIO EUROPEO,"{'name': 'Palazzo della Regione', 'address': 'https://www.regione.taa.it/'}",2024-10-12 16:30:00,['Francesco Farioli']
Calcio,"LIBRI DI SPORT: LUCA VIALLI
Libri di sport","{'name': 'Piazza del Duomo', 'address': 'Piazza Del Duomo  - 38122 Trento'}",2024-10-12 17:30:00,"['Luca Dal Monte', 'Nino Vialli']"
Canottaggio,REMI DARGENTO,"{'name': 'Palazzo della Regione', 'address': 'https://www.regione.taa.it/'}",2024-10-13 14:30:00,"['Luca Chiumento', 'Giacomo Gentili', 'Stefano Oppo', 'Andrea Panizza', 'Luca Rambaldi', 'Gabriel Soares']"
Ciclismo,ROGER DE VLAEMINCK: IL FENOMENO DELLE CLASSICHE,"{'name': 'Sala Depero', 'address': 'Piazza Dante 15, 38122 Trento'}",2024-10-10 18:45:00,['Roger De Vlaeminck']
Ciclismo,"BUGNO, CHIAPPUCCI E INDURAIN: QUANDO ERAVAMO RE","{'name': 'Auditorium Santa Chiara', 'address': 'Via S. Croce, 67 - 38122 Trento'}",2024-10-10 20:00:00,"['Gianni Bugno', 'Claudio Chiappucci', 'Miguel Indurain']"
Ciclismo,CONSONNI E VIVIANI: UN ARGENTO CHE VALE ORO,"{'name': 'Palazzo della Regione', 'address': 'https://www.regione.taa.it/'}",2024-10-11 13:30:00,"['Simone Consonni', 'Elia Viviani']"
